Site Num,Latitude,Longitude,State,Time Zone,Annual NO2 Average
23_1,33.553056,-86.815,AL,America/Chicago,9.26396590141709
23_2,42.263955,-71.794322,MA,America/New_York,9.043402484185679
23_3,35.1343,-106.5852,NM,America/Denver,7.887552764745727
23_4,42.921107,-78.765825,NY,America/New_York,8.526187625791392
23_5,41.55643,-109.53044,WY,America/Denver,6.398923091691059
2059_0,33.521427,-86.844112,AL,America/Chicago,11.892762209545863
34_1,64.84569,-147.727413,AK,America/Anchorage,7.835041265981984
34_2,39.104686,-94.57079,MO,America/Chicago,10.335672953729508
34_3,40.002707,-82.994424,OH,America/New_York,8.390553120790415
34_4,33.219069,-97.196284,TX,America/Chicago,5.516312778321013
34_5,26.053889,-80.256944,FL,America/New_York,4.367175925925927
19_1,33.48378,-112.14256,AZ,America/Phoenix,13.516867869202073
19_2,39.43806,-108.02611,CO,America/Denver,3.3166276480471235
19_3,42.43084,-83.000138,MI,America/Detroit,7.727426659435806
19_4,42.50472,-87.8093,WI,America/Chicago,2.6862299056029713
19_5,25.899539,-80.38259,FL,America/New_York,12.81320744602189
3002_1,33.45797,-112.04659,AZ,America/Phoenix,15.230690205237378
3002_2,39.021881,-84.47445,KY,America/New_York,4.294632122219769
4011_0,33.36985,-112.62068,AZ,America/Phoenix,7.442611570229896
4019_0,33.39623,-111.96799,AZ,America/Phoenix,16.181851734350612
4020_0,33.46173,-112.12796,AZ,America/Phoenix,24.946871865349078
9997_0,33.503833,-112.095767,AZ,America/Phoenix,12.70573508698689
1011_1,32.204411,-110.878067,AZ,America/Phoenix,7.32723506231019
1011_2,42.280097,-83.120122,MI,America/Detroit,
1028_0,32.29515,-110.9823,AZ,America/Phoenix,6.665502810836937
5_1,35.197288,-90.193141,AR,America/Chicago,7.388396316165774
5_2,32.67618,-115.48307,CA,America/Los_Angeles,9.301736471764967
5_3,37.765946,-122.399044,CA,America/Los_Angeles,8.07688579392702
5_4,37.348497,-121.894898,CA,America/Los_Angeles,9.165528865842306
5_5,40.038889,-107.8475,CO,America/Denver,0.6295729029424681
5_6,37.780776,-87.075307,KY,America/Chicago,4.236711334244612
5_7,42.876907,-78.809526,NY,America/New_York,7.9681470101184155
5_8,45.393497,-122.747894,OR,America/Los_Angeles,9.920843349669935
5_9,40.146667,-79.902222,PA,America/New_York,5.674597419223008
5_10,32.564968,-96.317687,TX,America/Chicago,3.076100300408123
5_11,37.74743,-113.055525,UT,America/Denver,6.3678107756179925
5_12,42.8463,-106.27767,WY,America/Denver,
5_13,42.894451,-85.852734,MI,America/Detroit,4.7643220057399525
5_14,36.83343,-79.337469,VA,America/New_York,1.7234488384634814
5_15,40.5506,-106.385,CO,America/Denver,
5_16,46.411389,-105.812778,MT,America/Denver,
7_1,34.756189,-92.281296,AR,America/Chicago,7.4553237644593935
7_2,37.687526,-121.784217,CA,America/Los_Angeles,7.04755996749669
7_3,36.705474,-119.741332,CA,America/Los_Angeles,10.879149058890688
7_4,35.345607,-118.851825,CA,America/Los_Angeles,5.29472123052522
7_5,33.83062,-117.93845,CA,America/Los_Angeles,12.31907677947222
7_6,38.8764,-107.6023,CO,America/Denver,1.6315449656396226
7_7,21.949599,-159.36624,HI,Pacific/Honolulu,3.075328094606449
7_8,39.422273,-75.025204,NJ,America/New_York,6.4211526921500885
7_9,40.92458,-75.067815,NJ,America/New_York,9.745928090129178
7_10,32.344027,-95.415754,TX,America/Chicago,1.4584017760577161
7_11,41.842649,-111.852199,UT,America/Denver,3.7520376914557505
7_12,37.179125,-113.305096,UT,America/Denver,2.958731763266631
7_13,44.13862,-87.61612,WI,America/Chicago,1.1645006475294692
7_14,18.198712,-66.052237,PR,America/Puerto_Rico,4.976621008223027
7_15,39.8723,-108.2183,CO,America/Denver,0.5990215768923199
9_1,37.743065,-122.169935,CA,America/Los_Angeles,8.651775662783791
9_2,33.447867,-117.088649,CA,America/Los_Angeles,2.9907035287165598
9_3,30.461981,-91.179219,LA,America/Chicago,8.223377215430487
9_4,30.221255,-91.315418,LA,America/Chicago,2.6334246788315605
9_5,39.371679,-76.746814,MD,America/New_York,14.430833427970278
9_6,36.742227,-107.977567,NM,America/Denver,9.42232925283137
9_7,30.036422,-94.071061,TX,America/Chicago,5.880973777476821
9_8,38.85287,-77.63462,VA,America/New_York,3.300381539878488
9_9,41.79358,-107.08422,WY,America/Denver,3.363994986196198
9_10,43.42542,-105.388566,WY,America/Denver,2.4279477437862758
9_11,43.48256,-110.74526,WY,America/Denver,1.3372178035374513
9_12,43.59901,-96.78331,SD,America/Chicago,4.9765797843101325
11_1,37.814781,-122.282347,CA,America/Los_Angeles,10.52833859740427
11_2,36.78538,-119.77321,CA,America/Los_Angeles,8.911612811493335
11_3,38.302591,-121.420838,CA,America/Los_Angeles,2.911430461265777
11_4,40.462182,-74.429439,NJ,America/New_York,6.40968144749563
11_5,41.705226,-76.512726,PA,America/New_York,2.2803999606336682
11_6,40.309722,-78.915,PA,America/New_York,5.1097398507239
11_7,36.205055,-86.74472,TN,America/Chicago,7.494258841006537
